T1,T2,T3,T4,T5,T6,T7,T8,W1,Target
0.061755538,0.35688084,0.008280658,0.47449756,0.01284905,0.07760596,0.00611783,0.0020125636,492,1
0.019401647,0.042144462,0.012821299,0.35881135,0.49980953,0.05310059,0.010677566,0.0032335455,225,1
0.010294007,0.3274921,0.005627353,0.5936867,0.039224423,0.017771762,0.004442248,0.0014614781,777,1
0.27073136,0.056640886,0.012091041,0.4323613,0.058133777,0.15723081,0.009677236,0.003133596,310,1
0.022822974,0.23699567,0.014347667,0.6426559,0.023742422,0.04389002,0.011696616,0.0038487315,236,1
0.05473052,0.08018196,0.00983192,0.44371247,0.32867098,0.07332743,0.0072069946,0.0023377324,441,1
0.032770064,0.058663048,0.018934207,0.68454736,0.029097572,0.10588805,0.06511257,0.0049871914,242,1
0.06521563,0.04658576,0.04862322,0.7403677,0.028391674,0.056369882,0.010869495,0.003576587,225,1
0.14913034,0.044166006,0.008243192,0.48870084,0.2695492,0.031375643,0.006648037,0.002186768,364,1
0.37579152,0.035495132,0.008149128,0.47126576,0.035223614,0.0667997,0.005476657,0.0017984725,651,1
0.012033136,0.04270041,0.0074832835,0.54424167,0.011553226,0.35372,0.02636925,0.0018989964,535,1
0.17884368,0.09115268,0.00901784,0.60670125,0.01794892,0.08666684,0.0072751525,0.0023936552,442,1
0.035928845,0.09224842,0.34438542,0.38766536,0.04573894,0.06894065,0.018879974,0.006212351,95,0
0.11581297,0.05416349,0.016929695,0.71501726,0.028895887,0.050824177,0.013815278,0.0045411927,213,1
0.10303128,0.7704366,0.0022892258,0.105297774,0.0036596444,0.0070212474,0.0018159903,0.0064482805,2111,1
0.022325892,0.09178759,0.34295622,0.46622896,0.021516232,0.041103218,0.01062731,0.0034545704,319,1
0.019566443,0.48060504,0.012280886,0.37648156,0.019204535,0.07874257,0.009884297,0.0032346814,381,1
0.06704466,0.16203547,0.010452833,0.6659727,0.016585076,0.06619813,0.008923174,0.0027879656,418,1
0.21350121,0.04554933,0.05315481,0.42803472,0.021682952,0.18863855,0.045983702,0.0034547232,203,1
0.01768423,0.12654884,0.010650802,0.51408106,0.017194225,0.1241585,0.03508201,0.15460034,339,1
0.18891342,0.09020564,0.009365406,0.6315041,0.014926854,0.05585398,0.0069453367,0.0022852696,474,1
0.020709107,0.031199485,0.3022249,0.55700266,0.01432931,0.064634204,0.0074494663,0.002450917,460,1
0.017785665,0.04123834,0.011517539,0.22952469,0.59648645,0.09152555,0.008970272,0.0029515077,362,1
0.273489,0.11878132,0.037931222,0.45668793,0.01627534,0.08605606,0.008136392,0.0026426967,378,1
0.022246182,0.04529093,0.013821287,0.71285665,0.021690622,0.13105656,0.049330104,0.003707642,192,1
0.0246124,0.048954777,0.015646057,0.7608021,0.024384016,0.10874691,0.0126818875,0.0041718623,226,1
0.027483832,0.055697616,0.017715238,0.7942534,0.030505748,0.055112682,0.014479194,0.004752296,166,1
0.022402992,0.08850142,0.014445706,0.362362,0.45279717,0.04394239,0.011698732,0.0038496032,230,1
0.079681486,0.07531153,0.0126345195,0.69663674,0.018669872,0.10439188,0.00953661,0.003137329,271,1
0.09808872,0.10171607,0.12345572,0.36932725,0.124073654,0.17739862,0.004479175,0.0014608277,874,1
0.038384143,0.09253778,0.02315462,0.71400726,0.036317114,0.07051099,0.01887672,0.0062114415,165,1
0.040914547,0.14439374,0.008602991,0.293305,0.040942006,0.4626958,0.0069118547,0.0022340063,611,1
0.024090597,0.04993718,0.01561824,0.81118286,0.024578882,0.057766896,0.012659753,0.0041655623,178,1
0.02625185,0.09937046,0.01724761,0.7169304,0.07133755,0.050285637,0.014037203,0.004539286,165,1
0.02024492,0.0411539,0.012883662,0.8384842,0.020329053,0.052936424,0.010513472,0.0034543434,270,1
0.011601868,0.11258053,0.006508272,0.61522526,0.14757596,0.07912743,0.025672853,0.0017078432,633,1
0.3698874,0.13429363,0.0042457217,0.33886135,0.026957389,0.09670492,0.027928524,0.0011211012,1025,1
0.03151916,0.23288949,0.006596112,0.34127313,0.030072303,0.16088387,0.0053431,0.19142282,619,1
0.01925049,0.03797974,0.012459859,0.30429545,0.020749293,0.59218276,0.009845691,0.0032367222,365,1
0.01981442,0.05531426,0.012451646,0.3591937,0.023071872,0.5166626,0.010151273,0.00334025,182,1
0.019874109,0.18032148,0.01015544,0.34200764,0.041438058,0.10021817,0.008549349,0.29743576,304,1
0.014937062,0.29464963,0.008166256,0.4005178,0.1229733,0.14986904,0.006701026,0.0021859151,496,1
0.09829469,0.054321483,0.014914356,0.37970674,0.10556642,0.33051175,0.012683717,0.0040008696,195,1
0.01900399,0.17063352,0.011699234,0.46447977,0.21581727,0.10560594,0.009625474,0.0031347747,280,1
0.01155099,0.08380925,0.0077551785,0.72054,0.033581845,0.13477577,0.006012566,0.0019744153,447,1
0.05937167,0.19531158,0.14066772,0.38785923,0.07651968,0.12529361,0.011268605,0.003707877,253,1
0.021176385,0.1104778,0.013714355,0.53527087,0.10442993,0.20187041,0.009826754,0.0032334982,296,1
